#{"t_start": 1608115272.846975, "env_id": "multicomp/SumoAnts-v0"}
r,l,t,r0,r1
-141.51887,390,22.744489,1497.270196,-141.51887
-9.924692,304,38.385759,670.321043,-9.924692
-64.77826,273,53.24421,2012.258771,-64.77826
-680.006194,125,60.209434,506.260676,-680.006194
-824.429515,103,65.458069,308.810618,-824.429515
419.536714,399,86.377316,1543.13185,419.536714
1279.780258,89,90.998809,-695.004116,1279.780258
-557.880777,140,98.238549,542.970238,-557.880777
210.606906,500,125.008234,712.146505,210.606906
231.278667,500,153.16766,1114.258674,231.278667
-711.623977,95,158.320138,368.278723,-711.623977
71.055085,500,185.951662,895.916864,71.055085
906.472357,500,213.843851,843.594414,906.472357
-6.636025,416,238.14394,1909.523804,-6.636025
-560.465679,139,246.529961,1503.789256,-560.465679
390.652073,401,269.470919,2432.59029,390.652073
-814.434849,75,273.808164,233.699187,-814.434849
-107.663786,313,292.249959,1065.107838,-107.663786
7.108335,394,315.333871,2072.201571,7.108335
-636.455941,109,321.689784,388.124148,-636.455941
572.18402,500,351.347293,524.2275,572.18402
400.531078,491,380.558515,1745.959095,400.531078
-333.034135,169,390.475859,1645.592437,-333.034135
-831.671693,44,392.851954,1176.314806,-831.671693
-442.951317,259,408.499532,1008.408023,-442.951317
-776.265096,96,414.230428,328.906029,-776.265096
-354.380841,234,428.285763,997.143539,-354.380841
217.961228,356,449.534652,2494.340228,217.961228
-913.044353,63,453.25991,197.898697,-913.044353
204.192009,373,475.411745,2454.870227,204.192009
-781.668037,123,482.023983,468.034797,-781.668037
-880.528912,76,486.087696,233.448777,-880.528912
1148.381291,43,488.406726,-810.782393,1148.381291
-570.17394,144,495.959549,656.058171,-570.17394
746.687066,500,522.314722,926.62225,746.687066
-67.114361,402,545.262844,1170.572107,-67.114361
827.664682,495,574.551213,2615.014568,827.664682
403.571277,500,603.971067,541.460219,403.571277
-219.737503,229,617.126435,994.514923,-219.737503
-701.064858,151,625.585259,359.165734,-701.064858
84.988381,500,653.573575,533.783919,84.988381
-609.010379,114,659.641755,1400.848766,-609.010379
1035.130099,500,686.978043,763.260596,1035.130099
-643.50522,196,697.629956,623.778153,-643.50522
-519.034545,150,706.048088,1609.361622,-519.034545
-138.84355,339,725.284513,1218.611478,-138.84355
989.579624,500,753.312191,417.109362,989.579624
363.120782,500,782.171187,421.628702,363.120782
-680.229151,182,792.410098,513.566737,-680.229151
-394.860597,332,811.760155,784.232707,-394.860597
228.482606,315,830.281599,1906.030213,228.482606
-653.947613,211,841.884421,867.631404,-653.947613
1014.490848,500,869.676946,421.52646,1014.490848
-192.813104,289,886.806076,1900.976654,-192.813104
-414.250925,180,897.07268,1789.544513,-414.250925
-437.354461,210,909.51837,743.59835,-437.354461
272.96709,500,939.086303,906.057273,272.96709
689.344243,500,967.743216,972.011789,689.344243
-483.041247,186,978.75873,679.450099,-483.041247
-660.716051,182,989.008604,645.906027,-660.716051
-802.0627,72,993.619481,1311.520887,-802.0627
511.631826,500,1023.126827,402.413485,511.631826
-270.619699,345,1043.159586,1493.48251,-270.619699
1143.518972,43,1045.759127,-858.660687,1143.518972
2448.003017,377,1067.608957,50.83855,2448.003017
72.222628,500,1096.206717,308.227574,72.222628
-35.259013,463,1123.280948,1506.235028,-35.259013
1305.881202,90,1128.500997,-638.417097,1305.881202
-462.17773,249,1143.319423,622.318589,-462.17773
-799.363638,91,1148.669907,307.90284,-799.363638
862.49342,500,1177.778487,1000.207221,862.49342
-709.615012,111,1183.607643,1498.847921,-709.615012
365.218145,368,1204.216393,2476.780341,365.218145
-352.056018,240,1217.435292,599.913815,-352.056018
-301.711691,221,1230.13324,877.279444,-301.711691
99.475398,378,1251.773598,1336.505751,99.475398
236.216959,396,1274.326909,1419.501169,236.216959
-438.506146,203,1286.193395,1912.307522,-438.506146
710.310865,500,1313.585205,566.350125,710.310865
-238.650052,334,1332.342103,1251.96096,-238.650052
-74.286321,322,1350.829166,2412.435283,-74.286321
-758.185344,146,1359.164454,499.855419,-758.185344
185.528773,432,1383.648425,1355.865005,185.528773
-582.214812,133,1391.113459,1532.006228,-582.214812
-462.632649,338,1410.189603,903.460643,-462.632649
1165.183544,44,1412.400686,-834.120093,1165.183544
1228.793864,58,1415.658539,-758.592993,1228.793864
278.744821,479,1441.927606,1920.400771,278.744821
360.891096,500,1470.040249,715.684752,360.891096
435.583622,409,1494.075315,2522.818872,435.583622
-754.500996,78,1498.867549,1261.616657,-754.500996
846.708197,500,1528.774829,563.883272,846.708197
918.502195,500,1558.083541,903.635659,918.502195
223.376993,500,1586.590281,88.696405,223.376993
275.997567,500,1613.900843,706.230939,275.997567
-825.252863,118,1620.325024,232.702147,-825.252863
-810.995373,117,1626.790944,360.616153,-810.995373
129.723942,376,1647.671948,2590.157019,129.723942
-437.007665,168,1656.81606,625.031819,-437.007665
370.924948,500,1684.968334,180.954672,370.924948
277.381601,431,1710.271387,1350.809784,277.381601
642.509118,500,1739.44542,327.241118,642.509118
587.448918,500,1769.222297,908.885782,587.448918
-545.88399,186,1780.790835,1734.038133,-545.88399
-652.71341,94,1786.051959,1359.408866,-652.71341
-479.419707,274,1802.256075,619.15813,-479.419707
479.902641,482,1829.945321,1582.230408,479.902641
-863.636439,81,1834.345734,239.782141,-863.636439
403.635574,500,1861.763368,202.892959,403.635574
-836.736095,121,1868.478589,282.609855,-836.736095
655.180535,500,1897.650136,1266.188967,655.180535
-682.621624,120,1904.629514,277.684558,-682.621624
-751.120636,84,1909.578824,1347.941455,-751.120636
-639.812082,184,1920.806506,569.263702,-639.812082
415.963594,459,1948.234741,2613.608477,415.963594
32.876627,318,1967.125434,1764.524176,32.876627
173.968349,366,1988.640413,1212.131393,173.968349
-733.642392,102,1994.606794,299.819332,-733.642392
-546.41245,186,2005.02041,661.109233,-546.41245
-610.436273,156,2013.81867,681.233561,-610.436273
-215.325556,381,2035.066801,1195.904659,-215.325556
-394.529621,288,2051.415399,2024.023025,-394.529621
1216.213326,64,2055.011797,-801.673034,1216.213326
1197.025198,62,2058.474502,-725.125843,1197.025198
-505.630377,243,2072.851801,624.366441,-505.630377
526.835268,460,2100.519608,2542.39247,526.835268
269.569219,102,2106.313797,-714.449624,269.569219
-588.463196,201,2117.569461,559.954255,-588.463196
357.336563,500,2146.273162,321.783012,357.336563
295.35247,419,2170.689196,2309.594553,295.35247
1194.749212,55,2174.020952,-781.728188,1194.749212
563.94332,500,2203.424414,1006.798357,563.94332
176.346665,488,2232.750213,1760.32779,176.346665
-524.883769,130,2239.941348,1454.889722,-524.883769
-45.525934,500,2267.714129,448.713855,-45.525934
-219.473328,370,2288.900699,1334.151416,-219.473328
579.817108,500,2318.930774,604.462608,579.817108
814.154663,500,2348.871753,747.499386,814.154663
1273.153375,70,2352.754524,-739.832714,1273.153375
-64.928842,326,2370.94251,1119.922279,-64.928842
6.604272,335,2390.213209,2175.530525,6.604272
-570.719409,210,2401.833491,472.605333,-570.719409
187.064095,421,2426.577735,1675.035676,187.064095
801.428709,500,2455.849176,972.749649,801.428709
506.307974,500,2484.073156,604.013854,506.307974
-558.589487,161,2492.924872,718.581341,-558.589487
308.662262,500,2520.688653,858.273634,308.662262
-304.942022,247,2534.803231,1136.275472,-304.942022
-51.897172,278,2550.192777,2105.047814,-51.897172
-19.96813,476,2576.737336,3316.862167,-19.96813
1199.579745,50,2579.838258,-780.049335,1199.579745
866.507901,500,2610.150575,736.831611,866.507901
-646.556791,242,2625.3674,656.750502,-646.556791
-678.200161,134,2633.722525,521.501693,-678.200161
-581.014768,124,2641.388441,1405.311507,-581.014768
748.808496,500,2670.959379,479.833412,748.808496
478.657703,500,2700.374357,916.647192,478.657703
1167.078566,45,2703.252132,-824.839047,1167.078566
-248.273173,476,2729.643427,1116.089589,-248.273173
547.637601,500,2757.819042,443.766517,547.637601
-55.867407,433,2782.160271,879.828547,-55.867407
-134.560944,329,2800.569552,1118.999388,-134.560944
-333.31383,212,2812.407537,605.426533,-333.31383
-498.128441,359,2832.824191,1433.460111,-498.128441
-454.473533,215,2844.712831,1891.347294,-454.473533
-18.373406,452,2871.161973,1283.190246,-18.373406
708.884243,500,2900.085549,720.34628,708.884243
173.138535,500,2928.686283,438.661132,173.138535
-354.815157,308,2947.065651,699.655628,-354.815157
-837.03118,86,2951.952447,334.173772,-837.03118
-479.542825,175,2961.97854,1699.411536,-479.542825
523.190711,500,2991.545092,1191.505957,523.190711
379.534025,424,3015.728473,2593.585692,379.534025
491.09478,464,3042.084729,1751.201589,491.09478
-778.6023,61,3045.850844,1254.435196,-778.6023
567.214415,500,3074.166752,779.22412,567.214415
-435.037372,250,3087.96083,816.071051,-435.037372
321.883925,500,3117.556713,463.080688,321.883925
150.501472,500,3145.587864,204.624258,150.501472
748.055454,500,3173.789818,725.206122,748.055454
515.844728,500,3201.686318,1023.884589,515.844728
359.511172,91,3206.642693,-680.692406,359.511172
-752.425597,143,3214.517843,351.644902,-752.425597
26.233681,352,3234.580843,1093.583723,26.233681
70.939325,345,3254.02653,2231.540092,70.939325
-848.886411,45,3256.513867,1179.842775,-848.886411
416.891917,500,3284.39165,302.732898,416.891917
1020.510466,500,3314.626634,703.063839,1020.510466
611.683463,500,3344.152721,97.288841,611.683463
1495.805212,179,3354.750771,-354.095214,1495.805212
-89.187582,361,3375.370404,971.394658,-89.187582
534.063433,500,3404.112042,1151.526639,534.063433
495.137738,500,3433.278313,899.371802,495.137738
-46.332778,259,3447.722693,2031.422484,-46.332778
720.120427,500,3477.058422,607.438553,720.120427
71.054984,323,3496.657995,2348.979308,71.054984
950.807194,500,3526.724185,319.127449,950.807194
1177.111701,43,3529.079227,-855.919589,1177.111701
261.345296,500,3559.414469,569.569177,261.345296
-447.914953,312,3577.945338,1189.655149,-447.914953
358.173542,461,3716.505262,1701.532613,358.173542
-250.89298,358,3736.816262,1209.050855,-250.89298
1234.35735,68,3740.582113,-726.185249,1234.35735
602.836218,500,3768.711023,1170.206233,602.836218
943.842809,500,3796.255243,760.701979,943.842809
-652.148442,120,3802.84159,445.640234,-652.148442
690.693718,500,3831.159507,984.64557,690.693718
697.763772,500,3860.875324,753.310898,697.763772
276.142422,405,3884.097747,1103.366428,276.142422
575.873743,500,3911.764241,561.551397,575.873743
228.707369,441,3937.458281,1137.148688,228.707369
207.968684,71,3941.650281,-891.430675,207.968684
502.442016,500,3969.886704,395.321074,502.442016
-524.845052,231,3983.088181,874.468319,-524.845052
937.463942,500,4010.977575,522.634716,937.463942
674.502099,500,4039.159051,793.561786,674.502099
660.314439,500,4067.591769,229.158752,660.314439
906.778088,500,4094.952434,988.653509,906.778088
1158.258659,39,4097.123009,-844.015467,1158.258659
-769.159404,59,4100.402057,1268.078538,-769.159404
-905.038382,64,4104.227249,251.000556,-905.038382
700.255963,500,4132.265233,889.868836,700.255963
36.902216,418,4163.062564,2361.955135,36.902216
247.908878,500,4191.675092,263.161278,247.908878
1292.243945,78,4196.130499,-710.825266,1292.243945
642.063018,500,4224.790765,681.328127,642.063018
676.574481,500,4254.772747,769.365935,676.574481
-672.585377,203,4266.995912,514.766346,-672.585377
-624.30764,193,4278.813246,893.514714,-624.30764
-437.057795,184,4290.029566,1799.126238,-437.057795
617.183395,500,4322.95628,904.8472,617.183395
-632.492972,130,4331.193501,553.958803,-632.492972
888.732136,500,4360.423609,748.075134,888.732136
374.578371,500,4391.135024,767.026625,374.578371
454.704984,500,4421.76035,518.758607,454.704984
126.585279,500,4450.293221,773.781666,126.585279
-847.339069,42,4452.551383,1191.71362,-847.339069
405.688509,453,4478.152046,2827.491642,405.688509
869.864377,500,4506.581871,81.878484,869.864377
-330.388583,195,4517.707363,1589.959212,-330.388583
1163.586571,41,4520.039452,-844.565057,1163.586571
-518.625442,123,4526.615921,441.798175,-518.625442
1201.21553,56,4529.817171,-781.730069,1201.21553
323.866817,500,4560.362481,1200.049863,323.866817
777.640838,500,4591.435848,963.318954,777.640838
944.342041,500,4620.988012,730.498445,944.342041
199.286632,67,4624.680187,-712.477083,199.286632
-611.678851,129,4631.961003,517.32894,-611.678851
260.087978,500,4660.629042,715.378795,260.087978
